202203091100:
2022-03-09 10:00:00
20  39 东风2级 2022-03-09 09:00:00
18 54 44 东南风2级 2022-03-09 08:00:00
16 56 57 东北风2级 2022-03-09 07:00:00
14 52 73 东北风1级 2022-03-09 06:00:00
12 46 81 东北风1级 2022-03-09 05:00:00
13 40 79 东北风1级 2022-03-09 04:00:00
13 36 80 东北风1级 2022-03-09 03:00:00
13 35 76 东北风1级 2022-03-09 02:00:00
14 34 69 南风1级 2022-03-09 01:00:00
15 34 63 南风1级 2022-03-09 00:00:00
15 33 58 南风1级 2022-03-08 23:00:00
16 34 55 南风1级 2022-03-08 22:00:00
16 38 51 南风1级 2022-03-08 21:00:00
17 43 49 南风2级 2022-03-08 20:00:00
18 51 43 南风1级 2022-03-08 19:00:00
19 56 42 南风2级 2022-03-08 18:00:00
20 54 29 南风1级 2022-03-08 17:00:00
22 51 27 南风1级 2022-03-08 16:00:00
23 50 24 南风2级 2022-03-08 15:00:00
24 47 24 南风2级 2022-03-08 14:00:00
24 45 26 南风2级 2022-03-08 13:00:00
23 42 26 东风2级 2022-03-08 12:00:00
22 40 30 东北风1级 2022-03-08 11:00:00
20 38 35 西南风2级 2022-03-08 10:00:00
20 37 36 东南风2级 
